#2019-01-29 11:31:06
period;"Livre comptable";J-6;J-5;J-4;J-3;J-2;J-1;J-0
flight;"Résultats des vols";0;0;1859224;7216529;8121243;8128310;4555733
marketing.simulationPurchase;"Simulation de prix";0;0;0;0;-4528;0;0
finance.loanAutomaticPayment;"Remboursement Prêt";0;-7337143;0;0;0;0;0
divers;Divers;0;0;5000000;6800000;0;800000;0
airline.incomeTax;"Impôt sur le revenu";0;0;0;0;0;0;0
airline.research;"Transfert R$";-1500000;-1500000;-1500000;-1500000;-1500000;-1500000;0
aircraft.purchase;"Achat d'appareil";0;0;0;-126950400;0;0;0
network.linePurchase;"Achat de ligne";0;0;0;-39200336;0;0;0
marketing.internalAudit;"Audit interne";0;0;0;-331331;0;0;0
marketing.externalAudit;"Audit externe";0;0;0;-983547;0;-2893374;0
marketing.superSimulation;"Super Simulation";0;0;0;0;-4528;0;0
staff.salary;Salaire;-224036;-224036;-224036;-224036;-284596;-284720;-290526
aircraft.checkA;"Check A";0;0;-737085;-3313728;-738314;-711619;0
incident;Incident;0;0;-795;-30346;-1193;0;0
staff.iata.hire;Recrutement;0;0;0;-1750;0;-42000;0
staff.iata.training;Formation;0;0;0;-236500;-46000;-178500;0
finances.debitSum;"Total des dépenses";-1724036;-9061179;-2461916;-172771974;-2579159;-5610213;-290526
finances.creditSum;"Total des recettes";0;0;6859224;14016529;8121243;8928310;4555733
